,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,66435c4386ee4344b111d83ef01d25c9,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,ed928b6bd5dc4d5181a8b4833ab8075e,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,71319ee2499d4c1b86f228a2056191f4,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,69b1af444db9496596df6859f5fc763a,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,5d73ec72d8214040822e908e8615014a,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,719f2782b9e7474990189432cf8a9d6e,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,7d2acc8556fc4f5fadd8ec49225267c8,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,f194814c0033492baa52d5a0856f4ae0,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,542c34495c2642618f4ac3e84ad470ab,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,81f6ec0be0f84f2d8c8c1f5fec89463a,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,8a965ace116546b08a659a417ae7dd73,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
